Position,Gene_Name,Enzyme,Operation
11,b0388,draw_prot_P0A6E1,OE
25,b4226,draw_prot_P0A7A9,KO
26,b2744,draw_prot_P0A840,KO
31,b0116,draw_prot_P0A9P0,KD
53,b0825,draw_prot_P78055,KO
56,b3946,draw_prot_P32669,KO
