Position,Gene_Name,Enzyme,Operation
11,b0388,draw_prot_P0A6E1,OE
15,b4094,draw_prot_P16690,OE
31,b0116,draw_prot_P0A9P0,KD
43,b3386,draw_prot_P0AG07,KO
53,b0825,draw_prot_P78055,KO
56,b3946,draw_prot_P32669,KO
