Position,Gene_Name,Enzyme,Operation
11,b0388,draw_prot_P0A6E1,OE
15,b4094,draw_prot_P16690,OE
24,b2502,draw_prot_P0AFL6,KO
26,b2744,draw_prot_P0A840,KO
31,b0116,draw_prot_P0A9P0,KD
50,b0508,draw_prot_P30147,OE
54,b1199,draw_prot_P76014,KD
