Position,Gene_Name,Enzyme,Operation
0,b4025,draw_prot_P0A6T1,KO
11,b0388,draw_prot_P0A6E1,OE
15,b4094,draw_prot_P16690,OE
31,b0116,draw_prot_P0A9P0,KD
43,b3386,draw_prot_P0AG07,KO
