Position,Gene_Name,Enzyme,Operation
0,b4025,draw_prot_P0A6T1,KO
14,b1693,draw_prot_P05194,OE
15,b4094,draw_prot_P16690,OE
31,b0116,draw_prot_P0A9P0,KD
55,b1200,draw_prot_P76015,KO
