Position,Gene_Name,Enzyme,Operation
8,b0754,draw_prot_P0AB91,OE
26,b2744,draw_prot_P0A840,KO
31,b0116,draw_prot_P0A9P0,KD
43,b3386,draw_prot_P0AG07,KO
