Position,Gene_Name,Enzyme,Operation
14,b1693,draw_prot_P05194,OE
25,b4226,draw_prot_P0A7A9,KO
31,b0116,draw_prot_P0A9P0,KD
39,b2029,draw_prot_P00350,OE
53,b0825,draw_prot_P78055,KO
56,b3946,draw_prot_P32669,KO
