Position,Gene_Name,Enzyme,Operation
0,b4025,draw_prot_P0A6T1,KD
14,b1693,draw_prot_P05194,OE
16,b4383,draw_prot_P0A6K6,KO
31,b0116,draw_prot_P0A9P0,KD
43,b3386,draw_prot_P0AG07,KD
52,b1198,draw_prot_P37349,KO
