Position,Gene_Name,Enzyme,Operation
13,b2329,draw_prot_P12008,OE
29,b3919,draw_prot_P0A858,KD
31,b0116,draw_prot_P0A9P0,KD
53,b0825,draw_prot_P78055,KO
56,b3946,draw_prot_P32669,KO
