Position,Gene_Name,Enzyme,Operation
0,b4025,draw_prot_P0A6T1,KO
14,b1693,draw_prot_P05194,OE
29,b3919,draw_prot_P0A858,KD
31,b0116,draw_prot_P0A9P0,KD
43,b3386,draw_prot_P0AG07,KD
