Position,Gene_Name,Enzyme,Operation
0,b4025,draw_prot_P0A6T1,KO
15,b4094,draw_prot_P16690,OE
26,b2744,draw_prot_P0A840,KO
31,b0116,draw_prot_P0A9P0,KD
