Position,Gene_Name,Enzyme,Operation
11,b0388,draw_prot_P0A6E1,OE
15,b4094,draw_prot_P16690,KO
16,b4383,draw_prot_P0A6K6,KO
31,b0116,draw_prot_P0A9P0,KD
54,b1199,draw_prot_P76014,KO
