Position,Gene_Name,Enzyme,Operation
11,b0388,draw_prot_P0A6E1,OE
15,b4094,draw_prot_P16690,OE
31,b0116,draw_prot_P0A9P0,KD
39,b2029,draw_prot_P00350,OE
52,b1198,draw_prot_P37349,KO
