Position,Gene_Name,Enzyme,Operation
8,b0754,draw_prot_P0AB91,OE
15,b4094,draw_prot_P16690,OE
31,b0116,draw_prot_P0A9P0,KD
39,b2029,draw_prot_P00350,OE
43,b3386,draw_prot_P0AG07,KD
53,b0825,draw_prot_P78055,KO
