gene_name
YOR143C
YBL015W
YDL171C
YER170W
YEL046C
YOR120W
YML070W
YIL053W
YFL053W
YER062C
YER073W
YOR374W
YBR117C
YPR074C
YDR300C
YOR323C
YJL167W
YNR043W
YMR208W
YML075C
YPL117C
YPL028W
YMR220W
YLR450W
YML126C
YJL121C
YGR193C
YNL071W
YBR221C
YER178W
YKL060C
YMR205C
YGR240C
YGR256W
YHR183W
YGR248W
YNL241C
YHR163W
YOR095C
YOR347C
YAL038W
YMR323W
YGR254W
YOR283W
YPL281C
YOR393W
YKL152C
YHR174W
YML120C
YGL253W
YFR053C
YCL040W
YLR446W
YJR009C
YCR012W
YJL052W
YGR192C
YGR087C
YLR134W
YLR044C
YMR319C
YOL126C
YNR019W
YMR165C
YCR048W
YJL200C
YKL085W
YPR113W
YOR245C
YOL140W
YER069W
YMR062C
YOR278W
YDL066W
YDR148C
YIL125W
YOR375C
YAL062W
YGR208W
YOR184W
YMR189W
YDR019C
YAL044C
YIL074C
YLR058C
YBR263W
YOR388C
YLR438W
YOL055C
YGR019W
YPL258C
YPL214C
YNL277W
YBR006W
YPR121W
