Gene_Name,Operation,Count
b0116,KD,20
b0388,OE,7
b0754,OE,5
b0825,KD,1
b0825,KO,6
b1198,KO,3
b1199,KD,1
b1199,KO,1
b1200,KO,1
b1693,OE,5
b2029,OE,6
b2329,OE,2
b2502,KO,1
b2744,KO,6
b3125,OE,1
b3386,KD,4
b3386,KO,5
b3919,KD,2
b3946,KO,5
b4025,KD,1
b4025,KO,9
b4094,KO,1
b4094,OE,8
b4226,KO,3
b4383,KO,2
